Scenario,Ticker,MeanNetPnL,MedianNetPnL,Trades,Dates,NonFlatHit,Suite
sp400_med,FAF,-0.003919152893317217,0.0,10,18,0.2,QQQ
sp400_med,BWXT,-0.0039446224173468,0.0,13,18,0.6923076923076923,QQQ
sp400_med,G,-0.003991169410140355,-0.0007113151959756,12,18,0.25,QQQ
sp400_med,ALLY,-0.004498041565790316,0.0,12,18,0.4166666666666667,QQQ
sp400_med,AR,-0.004752570726340567,-0.0027145739796621,16,18,0.4375,QQQ
sp400_med,COTY,-0.004753981387327078,0.0,15,18,0.5333333333333333,QQQ
sp400_med,VOYA,-0.005182919108497016,-0.00032563766969605,13,18,0.38461538461538464,QQQ
sp400_med,ACM,-0.005482107690826955,-0.0004221764199283,13,18,0.46153846153846156,QQQ
sp400_med,BLD,-0.005793232683441295,0.0,9,18,0.5555555555555556,QQQ
sp400_med,HLI,-0.0063032984232454115,0.0,9,18,0.2222222222222222,QQQ
sp400_med,OLLI,-0.006354678324307961,0.0,13,18,0.5384615384615384,QQQ
sp400_med,IRT,-0.006495928506102366,-0.00085810287627175,14,18,0.35714285714285715,QQQ
sp400_med,VC,-0.006908041482981072,-0.0012743869965174,12,18,0.25,QQQ
sp400_med,OC,-0.0069715975804222445,0.0,8,18,0.5,QQQ
sp400_med,SAIC,-0.0073166129662368224,0.0,7,18,0.0,QQQ
