Ticker,Market,Sector,Size,Model,Threshold,Band,AUC,PR_AUC,CAGR,Sharpe,MaxDD,TradeRate,Scenario,Suite
HLT,QQQ,XLI,MDY,LR,0.6,0.1,0.5119327518644925,0.5076646039809349,0.025511577091511972,0.22596964968652322,-0.3792857041771305,0.7424511545293073,sp500_med,QQQ
PSX,QQQ,XLE,MDY,LR,0.575,0.02,0.5036621608666475,0.46233027158052187,-0.005976503032648295,0.12337367140205613,-0.44955638256653496,0.8979907264296755,sp500_med,QQQ
PAYC,QQQ,XLI,,LR,0.575,0.02,0.49904580152671757,0.47892137426806336,-0.032331061461455035,0.10433880121988015,-0.5000923334588914,0.7692307692307693,sp500_med,QQQ
ANET,QQQ,XLK,,RF,0.625,0.08,0.5059213968988405,0.5078548687105857,-0.06318218342404902,0.09495441962502228,-0.6052091537085151,0.8664192949907236,sp500_med,QQQ
FSLR,QQQ,XLK,MDY,RF,0.575,0.08,0.5049886621315193,0.5002273275559559,-0.08244587596814756,0.07240336844126409,-0.652815346940266,0.5543358946212953,sp500_med,QQQ
MPC,QQQ,XLE,MDY,LR,0.65,0.1,0.5089595646871189,0.47101915803426847,-0.02498375050806778,0.06470124587233266,-0.3618752521638676,0.8498542274052479,sp500_med,QQQ
DAL,QQQ,XLI,MDY,RF,0.575,0.1,0.5092206218871989,0.5102260561223556,-0.05640255610153855,0.05169231531747412,-0.6242684752966272,0.5345982142857143,sp500_med,QQQ
MA,QQQ,XLF,,RF,0.625,0.06,0.4760595713486506,0.47362731847345,-0.007639397775182077,0.04678061843468954,-0.3028722635447415,0.8068057080131723,sp500_med,QQQ
PANW,QQQ,XLK,,LR,0.55,0.1,0.5276757188498402,0.5236475660872807,-0.0025875296185745578,0.039934828234361806,-0.2008075075501773,0.10584518167456557,sp500_med,QQQ
AWK,QQQ,XLU,,RF,0.575,0.1,0.49520816792100464,0.4737108475303873,-0.0016318440524726308,0.019276410199377352,-0.08718545146942513,0.14049586776859505,sp500_med,QQQ
IQV,QQQ,XLV,,RF,0.55,0.06,0.5146332456261828,0.4714911901389528,-0.014678254202187824,0.0014514489667384219,-0.22764648799507103,0.4114671163575042,sp500_med,QQQ
TDG,QQQ,XLI,MDY,RF,0.55,0.1,0.48759386537367816,0.49047589852322804,-0.03247319347269828,-0.043753019053574725,-0.3536784214643135,0.2722283205268935,sp500_med,QQQ
BR,QQQ,XLI,,RF,0.55,0.06,0.5352605703048182,0.5293320189605422,-0.01926488066448029,-0.0648950573617641,-0.2695533946282853,0.4490022172949002,sp500_med,QQQ
VRSK,QQQ,XLP,,RF,0.65,0.06,0.5164608225717773,0.49654735239630743,-0.027324859414229907,-0.0684144190020355,-0.30352103712259626,0.8344113842173351,sp500_med,QQQ
