Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
PECO,2024-04-30,QQQ,XLRE,,RF,0.65,0.02,0.48670302751536726,-1,0.00011512690557390754,-0.0011151269055739077,QQQ,2024-04-30
TALO,2024-04-30,QQQ,XLE,IJR,LR,0.625,0.06,0.5026642218086014,-1,0.00027299393539138546,-0.0012729939353913855,QQQ,2024-04-30
CARS,2024-04-30,QQQ,XLY,MDY,RF,0.625,0.04,0.5692825772028809,-1,0.0028648500694200894,-0.0038648500694200894,QQQ,2024-04-30
MCW,2024-04-30,QQQ,XLI,MDY,RF,0.575,0.02,0.5523434285674717,-1,0.003123086646322512,-0.004123086646322513,QQQ,2024-04-30
HCC,2024-04-30,QQQ,XLB,IJR,LR,0.55,0.08,0.6931853503853106,1,-0.0053225032836666,-0.0063225032836666,QQQ,2024-04-30
DFH,2024-04-30,QQQ,XLB,MDY,LR,0.55,0.1,0.21461144582596567,-1,0.0063757544592999435,-0.0073757544592999436,QQQ,2024-04-30
YOU,2024-04-30,QQQ,XLF,MDY,LR,0.55,0.02,0.21353842396896178,-1,0.007340551671379688,-0.008340551671379688,QQQ,2024-04-30
PLMR,2024-04-30,QQQ,XLF,,RF,0.65,0.02,0.3890851772136722,-1,0.007673680168214117,-0.008673680168214116,QQQ,2024-04-30
ACT,2024-04-30,QQQ,XLF,MDY,RF,0.625,0.02,0.5418224566340646,-1,0.009962918113556709,-0.010962918113556708,QQQ,2024-04-30
SONO,2024-04-30,QQQ,XLY,MDY,RF,0.625,0.02,0.47349293925227925,-1,0.009990969403936841,-0.010990969403936842,QQQ,2024-04-30
STEP,2024-04-30,QQQ,XLF,MDY,LR,0.65,0.02,0.7009620260759808,1,-0.010656790469970746,-0.011656790469970747,QQQ,2024-04-30
CERT,2024-04-30,QQQ,XLB,MDY,LR,0.55,0.06,0.2991347530223983,-1,0.010886358742318249,-0.011886358742318248,QQQ,2024-04-30
PGNY,2024-04-30,QQQ,XLY,MDY,LR,0.65,0.1,0.3540068956794724,-1,0.012623397497730433,-0.013623397497730432,QQQ,2024-04-30
NABL,2024-04-30,QQQ,XLK,,RF,0.575,0.04,0.48640207551336423,-1,0.014277486050856736,-0.015277486050856735,QQQ,2024-04-30
INSP,2024-04-30,QQQ,XLI,,RF,0.575,0.08,0.4010548434784434,-1,0.015677131621797652,-0.016677131621797653,QQQ,2024-04-30
SNCY,2024-04-30,QQQ,XLI,MDY,RF,0.65,0.02,0.6152426210045995,-1,0.018250587314808903,-0.019250587314808904,QQQ,2024-04-30
